ID estable,Filename exacto propuesto,Categoría A–G,Función narrativa,Función visual,Consumidor previsto,Estado o pantalla,Canvas,Formato,Opaco/transparente,Orientación,Capa/z-order,Referencias,Reutilización,Movimiento,Criterio asset/código,Dependencias,Riesgo,Prioridad,Criterios de aceptación
FINAL-FOCUS-001,finalFocus.ts,D — CÓDIGO DETERMINISTA,Mantiene continuidad de navegación,Foco visible y restaurado,FinalRoot/Review wrapper,/final y revisita,Viewport contractual,TypeScript/CSS,NO_APLICA_CÓDIGO,Ambas,z130,Lección W3,No aplica,NO NECESARIO,Código por interacción,IDs estables de accesos,Pérdida de foco,P0,Foco vuelve al acceso elegido y al disparador del diálogo
FINAL-ARIA-001,FinalAnnouncements.tsx,D — CÓDIGO DETERMINISTA,"Anuncia selección, salida y error",Regiones aria-live,FinalRoot,/final,Viewport contractual,React/HTML,NO_APLICA_CÓDIGO,Ambas,Semántico,Slots accesibles,No aplica,NO NECESARIO,Código semántico,Copy accesible,Anuncios duplicados,P0,polite para selección/navegación; assertive solo reset fallido
FINAL-RETURN-001,FinalReviewReturnControl.tsx,D — CÓDIGO DETERMINISTA,Vuelve al Mirador desde revisión,Control global no invasivo,Route-level ReviewModeLayout,/estacion/1–5 en review,Viewport contractual,React/HTML,NO_APLICA_CÓDIGO,Ambas,z200,Contrato 021B,No tocar narrativa de mundos,NO NECESARIO,Wrapper de rutas,Contexto validado,Solape con UI congelada,P0,Visible solo en review; ruta fija /final; >=44×44
FINAL-RESET-001,finalResetTransaction.ts,D — CÓDIGO DETERMINISTA,Reinicia la experiencia con seguridad,"Snapshot, allowlist, verify y rollback",FinalRestartDialog,/final / resetting,NO_APLICA,TypeScript,NO_APLICA_CÓDIGO,NO_APLICA,Semántico,Allowlist 021B,"Reutiliza primitivas, no clear()",NO NECESARIO,Código transaccional best-effort,Tres claves actuales,Rollback incompleto,P0,Nunca localStorage.clear; no navega antes de verificar
FINAL-GUARD-001,finalAccessGuard.ts,D — CÓDIGO DETERMINISTA,Protege cierre tras I–V,"Validación prefijo [1,2,3,4,5]",router loader,/final y transición W5→Final,NO_APLICA,TypeScript,NO_APLICA_CÓDIGO,NO_APLICA,Semántico,progress.storage.ts,Reutiliza readProgress,NO NECESARIO,Código por integridad,GVO progress schema,Aceptar [5],P0,Ausente/corrupto/excepción cierran; no estación 6
FINAL-RESET-ERROR-001,FinalResetError.tsx,D — CÓDIGO DETERMINISTA,Explica que no se reinició,Estado y reintento accesibles,FinalRestartDialog,/final / final_reset_failed,Viewport contractual,React/HTML,NO_APLICA_CÓDIGO,Ambas,z125,Nuevo copy requerido,No aplica,NO NECESARIO,Código semántico,Rollback report,Ocultar pérdida parcial,P0,No navega; aria-live; reporta rollback; foco en reintento/cancelar
FINAL-SAFE-AREA-001,finalGeometry.ts,D — CÓDIGO DETERMINISTA,Mantiene acciones visibles,Insets y zona protegida,FinalStage,/final,Seis viewports,TypeScript/CSS,NO_APLICA_CÓDIGO,Ambas,Layout,Wireframes 021B,No aplica,NO NECESARIO,Código por viewport,env(safe-area-inset-*),Controles bajo notch,P0,Todos los targets dentro del safe area; sin scroll
FINAL-ORIENTATION-001,finalResponsive.css,D — CÓDIGO DETERMINISTA,Conserva el Mirador en toda orientación,Selección 9:16/16:9,FinalStage,/final,Seis viewports,CSS,NO_APLICA_CÓDIGO,Ambas,Layout,Matriz 021B,No aplica,NO NECESARIO,Código por orientación y altura,Dos artboards,Usar 844 como proxy 667,P0,667×375 independiente y operable; reflow sin pérdida
FINAL-RESPONSIVE-001,finalResponsive.ts,D — CÓDIGO DETERMINISTA,Mantiene síntesis completa,Reglas de crop/extend/fallback,FinalStage,/final,Seis viewports,TypeScript/CSS,NO_APLICA_CÓDIGO,Ambas,Layout,Matriz 021B,No aplica,NO NECESARIO,Código por composición,Cámaras aprobadas,Crop ciego,P0,Cero overflow; core protegido; elementos simplificados documentados
FINAL-DOM-ORDER-001,FinalRootScreen.tsx,D — CÓDIGO DETERMINISTA,Permite lectura coherente,Orden DOM independiente de anchors,FinalRoot,/final,Viewport contractual,React/HTML,NO_APLICA_CÓDIGO,Ambas,Semántico,Wireframes 021B,No aplica,NO NECESARIO,Código semántico,Componentes Final,Orden visual leído,P0,h1→subtítulo→I–V→mensaje→acciones→créditos→diálogo
FINAL-REDUCED-001,finalReducedMotion.ts,D — CÓDIGO DETERMINISTA,Ofrece cierre equivalente,Congela loops y simplifica transición,FinalStage/FinalLiaActor,/final reduced,Seis viewports,TypeScript/CSS,NO_APLICA_CÓDIGO,Ambas,Todas,Contrato 021B,No aplica,NO NECESARIO,Código por preferencia,Assets con frame estable,Solo duration:0,P0,Mismas acciones/foco/anuncios; sin parallax/flotación/motas
FINAL-PRECACHE-001,finalAssetBundle.ts,D — CÓDIGO DETERMINISTA,Garantiza cierre offline,Bundle tipado y preload crítico,screenAssetBundles/PWA,/final,NO_APLICA,TypeScript,NO_APLICA_CÓDIGO,NO_APLICA,Infraestructura,vite.config.ts,Runtime canónico; nunca current-used,NO NECESARIO,Código para lista y estrategia,Assets aprobados,Superar 4 MiB por archivo,P1,Cero externos; shell+críticos offline; current-used excluido
FINAL-INFRA-FONT-001,@fontsource-variable/pixelify-sans,A — REUTILIZAR SIN DUPLICAR,Mantiene voz visual local,Tipografía DOM,Final UI,/final,NO_APLICA,WOFF2 bundle,Opaco/N.A.,Ambas,Infraestructura,Bundle actual,Reutilizar import; no duplicar,NO NECESARIO,Infraestructura global existente,Build futuro,Peso/legibilidad,P1,Sin fuente remota; legible a tamaños mínimos
FINAL-INFRA-ICON-001,gvo-icon.svg,A — REUTILIZAR SIN DUPLICAR,Identidad PWA,Icono de instalación,manifest PWA,Global,SVG,SVG,Transparente,Ambas,Infraestructura,vite.config.ts,Reutilizar ruta actual,NO NECESARIO,Global; no asset Final,Manifest,Duplicación,P3,Sin cambios ni copia en final-root
FINAL-INFRA-PROGRESS-001,resetProgress,A — REUTILIZAR SIN DUPLICAR,Borra progreso global,Primitiva storage,finalResetTransaction.ts,Reset futuro,NO_APLICA,TypeScript,NO_APLICA_CÓDIGO,NO_APLICA,Semántico,progress.storage.ts,Reutilizar dentro de transacción,NO NECESARIO,Código existente,Rollback wrapper,No expone éxito,P0,No usar sola; verificar ausencia y rollback externo
FINAL-INFRA-COVER-001,resetCoverIntroCompleted,A — REUTILIZAR SIN DUPLICAR,Repite introducción de portada,Primitiva storage,finalResetTransaction.ts,Reset futuro,NO_APLICA,TypeScript,NO_APLICA_CÓDIGO,NO_APLICA,Semántico,coverIntroState.ts,Reutilizar o remover clave exacta,NO NECESARIO,Código existente,Rollback wrapper,Silencia errores,P0,En transacción verificada; no navegar si falla
FINAL-REVIEW-CONTEXT-001,finalReviewContext.ts,D — CÓDIGO DETERMINISTA,Conserva regreso al Mirador,Token review=final y respaldo session,router/ReviewModeLayout,/final↔/estacion/N,NO_APLICA,TypeScript,NO_APLICA_CÓDIGO,NO_APLICA,Semántico,Contrato 021B,No aceptar return URL arbitraria,NO NECESARIO,Código por navegación segura,sessionStorage futuro,Open redirect/contexto stale,P0,Schema/version; station 1–5; ruta retorno fija; TTL/session
FINAL-REVIEW-FOCUS-001,finalReviewFocus.ts,D — CÓDIGO DETERMINISTA,Retoma la selección previa,Persistencia de accessId y foco,FinalRoot,/final retorno,NO_APLICA,TypeScript,NO_APLICA_CÓDIGO,NO_APLICA,Semántico,Contrato 021B,No altera progreso,NO NECESARIO,Código por foco/estado,Review context,Repetir intro ceremonial,P0,Seleccionado I–V restaurado; foco exacto; intro abreviada
FINAL-ENTRY-001,FinalEntrySequence.ts,D — CÓDIGO DETERMINISTA,Marca llegada ceremonial,Secuencia breve por capas,FinalStage,/final / entering→intro,Viewport contractual,TypeScript/WAAPI,NO_APLICA_CÓDIGO,Ambas,z0–90,Especificación V1,No reutiliza transición pasiva,CSS/SVG/JS determinista,Código por tiempos/foco,Assets estáticos aprobados,Bloqueo prolongado,P1,Interacción disponible <=700 ms; skip/reduced; no repite al retorno
FINAL-EXIT-001,FinalRevisitExit.ts,D — CÓDIGO DETERMINISTA,Abre revisión elegida,Salida local y navegación,FinalLocalTransition,/final / revisit transition,Viewport contractual,TypeScript/WAAPI,NO_APLICA_CÓDIGO,Ambas,z100,Contrato 021B,No modifica TransitionWorld,CSS/SVG/JS determinista,Código por side effect,Review context,Doble navegación,P1,Un side effect; anuncio; foco; ruta /estacion/N
FINAL-DISCARD-001,texto_horneado_en_assets,G — DESCARTAR / NO NECESARIO,Ninguna,Texto dentro de imagen,Ninguno,Descartado,NO_APLICA,Raster,Opaco/transparente,Ambas,N.A.,Reglas GVO,No reutilizar,NO NECESARIO,Texto operativo debe ser DOM,Ninguna,Accesibilidad/localización,BLOQUEADO,Cero texto operativo horneado
FINAL-DISCARD-002,portrait_recortado_como_landscape,G — DESCARTAR / NO NECESARIO,Ninguna,Recorte ciego 9:16→16:9,Ninguno,Descartado,NO_APLICA,Raster,Opaco,Landscape,N.A.,Contrato 021B,No reutilizar,NO NECESARIO,Cámara landscape independiente,Ninguna,Pierde accesos/Lía,BLOQUEADO,No aparece en producción
FINAL-DISCARD-003,final_full_background_animation,G — DESCARTAR / NO NECESARIO,Ninguna,Fondo completo animado,Ninguno,Descartado,NO_APLICA,Video/sprite gigante,Opaco,Ambas,N.A.,Límites de motion,No reutilizar,NO NECESARIO,Costo y ruido injustificados,Ninguna,Rendimiento/mareo,BLOQUEADO,No generar ni integrar
FINAL-DISCARD-004,final_locked_access_state,G — DESCARTAR / NO NECESARIO,Ninguna,Acceso bloqueado,Ninguno,Descartado,NO_APLICA,Código/asset,N.A.,Ambas,N.A.,Recorrido completo,No crear,NO NECESARIO,Estado ficticio,Ninguna,Contradice contrato,BLOQUEADO,Cinco accesos siempre activos
FINAL-DISCARD-005,world_6_or_station_6,G — DESCARTAR / NO NECESARIO,Ninguna,Sexto mundo,Ninguno,Descartado,NO_APLICA,Código/asset,N.A.,N.A.,N.A.,Reglas no negociables,No crear,NO NECESARIO,Fuera de modelo,Ninguna,Scope drift,BLOQUEADO,Cero /estacion/6 y cero progreso 6
FINAL-DISCARD-006,final_audio_or_runtime_video,G — DESCARTAR / NO NECESARIO,Ninguna,Audio/video pesado,Ninguno,Descartado,NO_APLICA,Audio/video,N.A.,N.A.,N.A.,Reglas GVO,No crear,NO NECESARIO,Prohibido,Ninguna,Offline/permisos,BLOQUEADO,"Cero audio, locución o video runtime"
FINAL-DISCARD-007,final_remote_resource,G — DESCARTAR / NO NECESARIO,Ninguna,CDN/API/imagen remota,Ninguno,Descartado,NO_APLICA,URL remota,N.A.,N.A.,N.A.,Local-first,No crear,NO NECESARIO,Prohibido,Ninguna,Campo sin Internet,BLOQUEADO,Cero requests externos
FINAL-DISCARD-008,duplicated_world_binaries,G — DESCARTAR / NO NECESARIO,Ninguna,Copias de assets I–V,Ninguno,Descartado,NO_APLICA,Raster,N.A.,N.A.,N.A.,Política current-used,No duplicar,NO NECESARIO,Referenciar o generar específico,Ninguna,Confusión de procedencia,BLOQUEADO,Cero duplicados en paquete Final
FINAL-DISCARD-009,animated_final_placeholders,G — DESCARTAR / NO NECESARIO,Ninguna,Placeholder tratado como final,Ninguno,Descartado,NO_APLICA,CSS/raster,N.A.,Ambas,N.A.,Metodología GVO,No reutilizar,NO NECESARIO,Prohibido animar placeholders,Ninguna,Falsa aprobación,BLOQUEADO,No se produce ni presenta como arte final
